CÓDIGO PRINCIPAL,DESCRIPCIÓN DIAGNÓSTICO PRINCIPAL,CÓDIGO SECUNDARIO,DESCRIPCIÓN DIAGNÓSTICO SECUNDARIO,RATIO
B15,Hepatitis aguda tipo A,B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],1.0387596899
B15,Hepatitis aguda tipo A,F93,Trastornos emocionales con inicio específico en la infancia,1.0813953488
B16,Hepatitis aguda tipo B,B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],1.0387596899
B16,Hepatitis aguda tipo B,F93,Trastornos emocionales con inicio específico en la infancia,1.0813953488
B17,Otras hepatitis víricas agudas,B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],1.0387596899
B17,Otras hepatitis víricas agudas,F93,Trastornos emocionales con inicio específico en la infancia,1.0813953488
B18,Hepatitis vírica crónica,B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],1.0387596899
B18,Hepatitis vírica crónica,F93,Trastornos emocionales con inicio específico en la infancia,1.0813953488
B19,"Hepatitis vírica, no especificada",B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],1.0387596899
B19,"Hepatitis vírica, no especificada",F93,Trastornos emocionales con inicio específico en la infancia,1.0813953488
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],B15,Hepatitis aguda tipo A,1.023255814
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],B16,Hepatitis aguda tipo B,1.023255814
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],B17,Otras hepatitis víricas agudas,1.023255814
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],B18,Hepatitis vírica crónica,1.023255814
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH],B19,"Hepatitis vírica, no especificada",1.023255814
C18,Neoplasia maligna de colon,C33,Neoplasia maligna de tráquea,1.0426356589
C18,Neoplasia maligna de colon,C34,Neoplasia maligna de bronquio y pulmón,1.0426356589
C18,Neoplasia maligna de colon,F93,Trastornos emocionales con inicio específico en la infancia,1.0775193798
C18,Neoplasia maligna de colon,G13,Atrofias sistémicas que afectan principalmente al sistema nervioso central en enfermedades clasificadas bajo otro concepto,1.0387596899
C18,Neoplasia maligna de colon,G61,Polineuropatía inflamatoria,1.0387596899
C18,Neoplasia maligna de colon,G62,Otras polineuropatías y las no especificadas,1.0387596899
C18,Neoplasia maligna de colon,G63,Polineuropatías en enfermedades clasificadas bajo otro concepto,1.0387596899
C18,Neoplasia maligna de colon,G64,Otros trastornos del sistema nervioso periférico,1.0387596899
C18,Neoplasia maligna de colon,G65,Secuelas de polineuropatías inflamatorias y tóxicas,1.0387596899
C18,Neoplasia maligna de colon,K41,Hernia femoral,1.0891472868
C18,Neoplasia maligna de colon,M50,Trastornos de disco cervical,1.0736434109
C18,Neoplasia maligna de colon,M51,"Trastornos de disco intervertebral dorsal, dorsolumbar y lumbosacro",1.0736434109
C19,Neoplasia maligna de unión rectosigmoidea,F93,Trastornos emocionales con inicio específico en la infancia,1.0697674419
C20,Neoplasia maligna de recto,F93,Trastornos emocionales con inicio específico en la infancia,1.0697674419
C21,Neoplasia maligna de ano y canal anal,F93,Trastornos emocionales con inicio específico en la infancia,1.0697674419
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,K70,Enfermedad alcohólica de hígado,1.011627907
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,K73,"Hepatitis crónica, no clasificada bajo otro concepto",1.011627907
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,K74,Fibrosis y cirrosis de hígado,1.011627907
C22,Neoplasia maligna de hígado y vías biliares intrahepáticas,K76,Otras enfermedades de hígado,1.011627907
