CÓDIGO,DESCRIPCIÓN,GRUPO EDAD,RATIO
A00,Cólera,26-35,0.66
A00,Cólera,36-45,1
A01,Fiebres tifoidea y paratifoidea,26-35,1.16
A01,Fiebres tifoidea y paratifoidea,36-45,1.03
A02,Otras infecciones debidas a Salmonella,16-25,0.69
A02,Otras infecciones debidas a Salmonella,26-35,0.73
A02,Otras infecciones debidas a Salmonella,36-45,0.84
A02,Otras infecciones debidas a Salmonella,46-55,1.09
A02,Otras infecciones debidas a Salmonella,56-65,2.22
A04,Otras infecciones intestinales bacterianas,16-25,0.81
A04,Otras infecciones intestinales bacterianas,26-35,0.87
A04,Otras infecciones intestinales bacterianas,36-45,0.96
A04,Otras infecciones intestinales bacterianas,46-55,1.25
A04,Otras infecciones intestinales bacterianas,56-65,1.75
A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas bajo otro concepto",16-25,0.56
A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas bajo otro concepto",26-35,0.75
A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas bajo otro concepto",36-45,1.35
A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas bajo otro concepto",46-55,1.37
A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas bajo otro concepto",56-65,1.13
A06,Amebiasis,26-35,0.85
A06,Amebiasis,36-45,0.88
A06,Amebiasis,46-55,0.79
A07,Otras enfermedades intestinales debidas a protozoos,26-35,0.7
A07,Otras enfermedades intestinales debidas a protozoos,36-45,1.1
A08,Infecciones intestinales debidas a virus y otros organismos especificados,16-25,0.81
A08,Infecciones intestinales debidas a virus y otros organismos especificados,26-35,0.87
A08,Infecciones intestinales debidas a virus y otros organismos especificados,36-45,0.96
A08,Infecciones intestinales debidas a virus y otros organismos especificados,46-55,1.25
A08,Infecciones intestinales debidas a virus y otros organismos especificados,56-65,1.75
A09,"Gastroenteritis y colitis infecciosas, no especificadas",16-25,0.77
A09,"Gastroenteritis y colitis infecciosas, no especificadas",26-35,0.85
A09,"Gastroenteritis y colitis infecciosas, no especificadas",36-45,0.98
A09,"Gastroenteritis y colitis infecciosas, no especificadas",46-55,1.29
A09,"Gastroenteritis y colitis infecciosas, no especificadas",56-65,1.87
A15,Tuberculosis respiratoria,16-25,0.78
A15,Tuberculosis respiratoria,26-35,0.82
A15,Tuberculosis respiratoria,36-45,0.99
A15,Tuberculosis respiratoria,46-55,1.18
A15,Tuberculosis respiratoria,56-65,1.24
A18,Tuberculosis de otros órganos,26-35,1.06
A18,Tuberculosis de otros órganos,36-45,0.5
A18,Tuberculosis de otros órganos,46-55,1.05
A23,Brucelosis,26-35,1.02
A23,Brucelosis,36-45,1.13
A25,Fiebres por mordedura de rata,26-35,1.03
A27,Leptospirosis,16-25,0.62
A27,Leptospirosis,26-35,0.78
A27,Leptospirosis,36-45,0.92
A27,Leptospirosis,46-55,1.09
A27,Leptospirosis,56-65,1.21
A37,Tos ferina,26-35,0.6
A37,Tos ferina,36-45,0.95
A37,Tos ferina,46-55,1.24
A37,Tos ferina,56-65,1.57
A38,Escarlatina,16-25,0.81
A38,Escarlatina,26-35,0.89
A38,Escarlatina,36-45,0.96
A38,Escarlatina,46-55,1.3
A38,Escarlatina,56-65,2
A41,Otras sepsis,26-35,0.77
A41,Otras sepsis,36-45,0.82
A41,Otras sepsis,46-55,0.98
A41,Otras sepsis,56-65,1.35
A44,Bartonelosis,26-35,0.46
A44,Bartonelosis,36-45,1.68
A46,Erisipela,26-35,0.7
A46,Erisipela,36-45,0.46
A46,Erisipela,46-55,1.31
A46,Erisipela,56-65,1.44
A48,"Otras enfermedades bacterianas, no clasificadas bajo otro concepto",26-35,0.46
A48,"Otras enfermedades bacterianas, no clasificadas bajo otro concepto",36-45,0.88
A48,"Otras enfermedades bacterianas, no clasificadas bajo otro concepto",46-55,1.68
A48,"Otras enfermedades bacterianas, no clasificadas bajo otro concepto",56-65,1.37
A49,Infección bacteriana de localización no especificada,16-25,0.59
A49,Infección bacteriana de localización no especificada,26-35,0.8
A49,Infección bacteriana de localización no especificada,36-45,0.91
A49,Infección bacteriana de localización no especificada,46-55,1.13
A49,Infección bacteriana de localización no especificada,56-65,1.67
A54,Infección gonocócica,26-35,0.84
A54,Infección gonocócica,36-45,0.99
A54,Infección gonocócica,46-55,1.41
A54,Infección gonocócica,56-65,1.27
A56,Otras enfermedades de transmisión sexual debidas a clamidias,16-25,0.64
A56,Otras enfermedades de transmisión sexual debidas a clamidias,26-35,0.51
A56,Otras enfermedades de transmisión sexual debidas a clamidias,36-45,0.91
A56,Otras enfermedades de transmisión sexual debidas a clamidias,46-55,1.29
A60,Infección anogenital debida a virus del herpes [herpes simple],16-25,0.54
A60,Infección anogenital debida a virus del herpes [herpes simple],26-35,0.66
A60,Infección anogenital debida a virus del herpes [herpes simple],36-45,0.99
A60,Infección anogenital debida a virus del herpes [herpes simple],46-55,1.44
A60,Infección anogenital debida a virus del herpes [herpes simple],56-65,1.84
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto",16-25,0.73
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto",26-35,0.81
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto",36-45,0.88
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto",46-55,1.29
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto",56-65,1.84
A66,Pian,26-35,0.82
A66,Pian,36-45,0.89
A66,Pian,46-55,1.07
A66,Pian,56-65,1.65
A68,Fiebre recidivante,16-25,1.1
A68,Fiebre recidivante,26-35,0.56
A68,Fiebre recidivante,36-45,0.85
A68,Fiebre recidivante,46-55,1.4
A68,Fiebre recidivante,56-65,1.63
A69,Otras infecciones por espiroquetas,26-35,0.48
A69,Otras infecciones por espiroquetas,36-45,0.99
