CÓDIGO,DESCRIPCIÓN,GRUPO DE OCUPACIÓN,RATIO
A01,Fiebres tifoidea y paratifoidea,7,1.05
A04,Otras infecciones intestinales bacterianas,15,0.81
A08,Infecciones intestinales debidas a virus y otros organismos especificados,15,0.81
A09,"Gastroenteritis y colitis infecciosas, no especificadas",2,0.74
A09,"Gastroenteritis y colitis infecciosas, no especificadas",4,0.75
A09,"Gastroenteritis y colitis infecciosas, no especificadas",5,1.29
A09,"Gastroenteritis y colitis infecciosas, no especificadas",6,0.74
A09,"Gastroenteritis y colitis infecciosas, no especificadas",7,1.15
A09,"Gastroenteritis y colitis infecciosas, no especificadas",8,1.03
A09,"Gastroenteritis y colitis infecciosas, no especificadas",11,1.82
A09,"Gastroenteritis y colitis infecciosas, no especificadas",12,1.17
A09,"Gastroenteritis y colitis infecciosas, no especificadas",13,0.55
A09,"Gastroenteritis y colitis infecciosas, no especificadas",14,2.89
A09,"Gastroenteritis y colitis infecciosas, no especificadas",15,0.96
A09,"Gastroenteritis y colitis infecciosas, no especificadas",16,1.16
A15,Tuberculosis respiratoria,2,0.62
A15,Tuberculosis respiratoria,4,1.34
A15,Tuberculosis respiratoria,5,0.8
A15,Tuberculosis respiratoria,7,1.29
A15,Tuberculosis respiratoria,8,1.03
A15,Tuberculosis respiratoria,10,1.05
A15,Tuberculosis respiratoria,11,1.15
A15,Tuberculosis respiratoria,12,1.23
A15,Tuberculosis respiratoria,14,1.18
A15,Tuberculosis respiratoria,15,1.02
A15,Tuberculosis respiratoria,16,1.12
A49,Infección bacteriana de localización no especificada,15,1.04
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto",7,1.02
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto",8,1.13
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto",15,1.3
A68,Fiebre recidivante,15,1.18
A74,Otras enfermedades causadas por clamidias,2,0.62
A74,Otras enfermedades causadas por clamidias,5,1.37
A74,Otras enfermedades causadas por clamidias,8,0.95
A74,Otras enfermedades causadas por clamidias,15,1.07
B02,Herpes zóster,2,0.87
B02,Herpes zóster,4,1.02
B02,Herpes zóster,5,0.99
B02,Herpes zóster,6,1.13
B02,Herpes zóster,7,1.23
B02,Herpes zóster,8,0.96
B02,Herpes zóster,11,1.93
B02,Herpes zóster,12,1.51
B02,Herpes zóster,14,1.72
B02,Herpes zóster,15,0.9
B02,Herpes zóster,16,1.17
B07,Verrugas víricas,7,1.02
B07,Verrugas víricas,8,1.13
B07,Verrugas víricas,15,1.3
B15,Hepatitis aguda tipo A,1,0.93
B15,Hepatitis aguda tipo A,2,0.88
B15,Hepatitis aguda tipo A,3,1.04
B15,Hepatitis aguda tipo A,4,1.01
B15,Hepatitis aguda tipo A,5,1.04
B15,Hepatitis aguda tipo A,6,1.01
B15,Hepatitis aguda tipo A,7,1.1
B15,Hepatitis aguda tipo A,8,1.03
B15,Hepatitis aguda tipo A,9,1.03
B15,Hepatitis aguda tipo A,10,1.09
B15,Hepatitis aguda tipo A,11,1.17
B15,Hepatitis aguda tipo A,12,1.16
B15,Hepatitis aguda tipo A,13,1.23
B15,Hepatitis aguda tipo A,14,1.07
B15,Hepatitis aguda tipo A,15,1.06
B15,Hepatitis aguda tipo A,16,1.09
B16,Hepatitis aguda tipo B,1,0.93
B16,Hepatitis aguda tipo B,2,0.88
B16,Hepatitis aguda tipo B,3,1.04
B16,Hepatitis aguda tipo B,4,1.01
B16,Hepatitis aguda tipo B,5,1.04
B16,Hepatitis aguda tipo B,6,1.01
B16,Hepatitis aguda tipo B,7,1.1
B16,Hepatitis aguda tipo B,8,1.03
B16,Hepatitis aguda tipo B,9,1.03
B16,Hepatitis aguda tipo B,10,1.09
B16,Hepatitis aguda tipo B,11,1.17
B16,Hepatitis aguda tipo B,12,1.16
B16,Hepatitis aguda tipo B,13,1.23
B16,Hepatitis aguda tipo B,14,1.07
B16,Hepatitis aguda tipo B,15,1.06
B16,Hepatitis aguda tipo B,16,1.09
B17,Otras hepatitis víricas agudas,1,0.93
B17,Otras hepatitis víricas agudas,2,0.88
B17,Otras hepatitis víricas agudas,3,1.04
B17,Otras hepatitis víricas agudas,4,1.01
B17,Otras hepatitis víricas agudas,5,1.04
B17,Otras hepatitis víricas agudas,6,1.01
B17,Otras hepatitis víricas agudas,7,1.1
B17,Otras hepatitis víricas agudas,8,1.03
