codigo,descripcion,sexo,ratio
A00,Cólera,hombre,1.4
A00,Cólera,mujer,0.73
A01,Fiebres tifoidea y paratifoidea,hombre,0.85
A01,Fiebres tifoidea y paratifoidea,mujer,1.14
A02,Otras infecciones debidas a Salmonella,hombre,1.08
A02,Otras infecciones debidas a Salmonella,mujer,0.91
A03,Shigelosis,mujer,0.52
A04,Otras infecciones intestinales bacterianas,hombre,0.94
A04,Otras infecciones intestinales bacterianas,mujer,1.05
A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas bajo otro concepto",hombre,0.88
A05,"Otras intoxicaciones alimentarias bacterianas, no clasificadas bajo otro concepto",mujer,1.1
A06,Amebiasis,hombre,1.04
A06,Amebiasis,mujer,0.96
A07,Otras enfermedades intestinales debidas a protozoos,hombre,0.93
A07,Otras enfermedades intestinales debidas a protozoos,mujer,1.08
A08,Infecciones intestinales debidas a virus y otros organismos especificados,hombre,0.94
A08,Infecciones intestinales debidas a virus y otros organismos especificados,mujer,1.05
A09,"Gastroenteritis y colitis infecciosas, no especificadas",hombre,0.93
A09,"Gastroenteritis y colitis infecciosas, no especificadas",mujer,1.06
A15,Tuberculosis respiratoria,hombre,1.01
A15,Tuberculosis respiratoria,mujer,0.98
A17,Tuberculosis del sistema nervioso,hombre,1.03
A18,Tuberculosis de otros órganos,hombre,1.06
A18,Tuberculosis de otros órganos,mujer,0.96
A19,Tuberculosis miliar,hombre,1.21
A22,Carbunco [ántrax],hombre,1.08
A22,Carbunco [ántrax],mujer,0.89
A23,Brucelosis,hombre,1.07
A23,Brucelosis,mujer,0.85
A25,Fiebres por mordedura de rata,hombre,1.16
A25,Fiebres por mordedura de rata,mujer,0.82
A27,Leptospirosis,hombre,1.02
A27,Leptospirosis,mujer,0.98
A28,"Otras enfermedades bacterianas zoonóticas, no clasificadas bajo otro concepto",hombre,1.29
A28,"Otras enfermedades bacterianas zoonóticas, no clasificadas bajo otro concepto",mujer,0.83
A31,Infecciones debidas a otras micobacterias,mujer,0.73
A37,Tos ferina,hombre,0.95
A37,Tos ferina,mujer,1.02
A38,Escarlatina,hombre,0.94
A38,Escarlatina,mujer,1.05
A39,Infección meningocócica,hombre,0.8
A39,Infección meningocócica,mujer,1.24
A41,Otras sepsis,hombre,1.02
A41,Otras sepsis,mujer,0.97
A44,Bartonelosis,mujer,0.85
A46,Erisipela,hombre,1.04
A46,Erisipela,mujer,0.95
A48,"Otras enfermedades bacterianas, no clasificadas bajo otro concepto",hombre,1.11
A48,"Otras enfermedades bacterianas, no clasificadas bajo otro concepto",mujer,0.89
A49,Infección bacteriana de localización no especificada,hombre,1.27
A49,Infección bacteriana de localización no especificada,mujer,0.78
A51,Sífilis precoz,hombre,1.16
A52,Sífilis tardía,hombre,0.8
A52,Sífilis tardía,mujer,1.3
A54,Infección gonocócica,hombre,1.44
A54,Infección gonocócica,mujer,0.68
A56,Otras enfermedades de transmisión sexual debidas a clamidias,hombre,1.17
A56,Otras enfermedades de transmisión sexual debidas a clamidias,mujer,0.71
A60,Infección anogenital debida a virus del herpes [herpes simple],hombre,1.22
A60,Infección anogenital debida a virus del herpes [herpes simple],mujer,0.88
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto",hombre,1
A63,"Otras enfermedades de transmisión predominantemente sexual, no clasificadas bajo otro concepto",mujer,1
A66,Pian,hombre,1.07
A66,Pian,mujer,0.93
A68,Fiebre recidivante,hombre,0.97
A68,Fiebre recidivante,mujer,1.04
A69,Otras infecciones por espiroquetas,hombre,0.98
A69,Otras infecciones por espiroquetas,mujer,1.02
A70,Clamidia psittaci infecciones,hombre,0.98
A70,Clamidia psittaci infecciones,mujer,1.01
A74,Otras enfermedades causadas por clamidias,hombre,0.9
A74,Otras enfermedades causadas por clamidias,mujer,1.08
A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas],hombre,1.3
A77,Fiebre maculosa [rickettsiosis transmitida por garrapatas],mujer,0.47
A78,Fiebre Q,hombre,1.09
A78,Fiebre Q,mujer,0.85
A79,Otras rickettsiosis,hombre,1.09
A79,Otras rickettsiosis,mujer,0.85
A81,Infecciones por virus atípico del sistema nervioso central,hombre,1.04
A81,Infecciones por virus atípico del sistema nervioso central,mujer,0.97
A83,Encefalitis viral transmitida por mosquitos,hombre,0.9
A87,Meningitis viral,hombre,0.99
A87,Meningitis viral,mujer,1.01
A90,Fiebre del dengue [dengue clásico],hombre,1.08
A90,Fiebre del dengue [dengue clásico],mujer,0.9
A91,Fiebre del dengue hemorrágico,hombre,0.46
A91,Fiebre del dengue hemorrágico,mujer,1.32
A92,Otras fiebres virales transmitidas por mosquitos,hombre,0.46
A92,Otras fiebres virales transmitidas por mosquitos,mujer,1.32
A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas bajo otro concepto",hombre,0.97
A93,"Otras fiebres virales transmitidas por artrópodos, no clasificadas bajo otro concepto",mujer,1.02
A95,Fiebre amarilla,hombre,1.19
A95,Fiebre amarilla,mujer,0.8
A98,"Otras fiebres virales hemorrágicas, no clasificadas bajo otro concepto",hombre,0.46
A98,"Otras fiebres virales hemorrágicas, no clasificadas bajo otro concepto",mujer,1.32
B00,Infecciones por herpesvirus [herpes simple],hombre,1.22
B00,Infecciones por herpesvirus [herpes simple],mujer,0.88
B01,Varicela,hombre,0.99
B01,Varicela,mujer,1.01
B02,Herpes zóster,hombre,1
B02,Herpes zóster,mujer,1
B05,Sarampión,hombre,1.09
B05,Sarampión,mujer,0.91
B06,Rubeola [sarampión alemán],hombre,0.46
B06,Rubeola [sarampión alemán],mujer,1.4
B07,Verrugas víricas,hombre,1
B07,Verrugas víricas,mujer,1
B08,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las mucosas, no clasificadas bajo otro concepto",hombre,0.99
B08,"Otras infecciones víricas caracterizadas por lesiones de la piel y de las mucosas, no clasificadas bajo otro concepto",mujer,1.01
B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",hombre,1.08
B09,"Infección viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas",mujer,0.94
B15,Hepatitis aguda tipo A,hombre,1.01
B15,Hepatitis aguda tipo A,mujer,0.99
B16,Hepatitis aguda tipo B,hombre,1.01
B16,Hepatitis aguda tipo B,mujer,0.99
B17,Otras hepatitis víricas agudas,hombre,1.01
B17,Otras hepatitis víricas agudas,mujer,0.99
B18,Hepatitis vírica crónica,hombre,1.01
B18,Hepatitis vírica crónica,mujer,0.99
B19,"Hepatitis vírica, no especificada",hombre,1.01
B19,"Hepatitis vírica, no especificada",mujer,0.99
