numero,capitulo,CODIGO,DESCRIPCION,TIEMPO ESTANDAR
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A00,Cólera ,10
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A01,Fiebres tifoidea y paratifoidea,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A02,Otras infecciones debidas a Salmonella,10
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A02.0,Enteritis debida a Salmonella,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A02.9,"Infección debida a Salmonella, no especificada",7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A03,Shigelosis,10
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A04,Otras infecciones intestinales bacterianas,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A04.9,"Infección intestinal bacteriana, no especificada",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A05,"intoxicaciones alimentarias bacterianas, no clasificadas bajo otro concepto",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A05.9,"Intoxicación alimentaria bacteriana, no especificada",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A06,Amebiasis,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A06.4,Absceso amebiano del hígado,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A06.5,Absceso amebiano del pulmón,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A06.6,Absceso amebiano del cerebro,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A06.9,"Amebiasis, sin especificar",7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A07,Otras enfermedades intestinales debidas a protozoos,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A08.0,Enteritis debida a rotavirus,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A08.2,Enteritis debida a adenovirus,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A08.39,Otras enteritis virales,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A08.8,Otras infecciones intestinales especificadas,4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A09,"Gastroenteritis y colitis infecciosas, no especificadas",4
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A15.0,Tuberculosis del pulmón,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A15.5,"Tuberculosis de laringe, tráquea y bronquios",60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A15.6,Pleuritis tuberculosa,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A15.7,Tuberculosis respiratoria primaria,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A15.8,Otras tuberculosis respiratorias,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A17,Tuberculosis del sistema nervioso,90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A17.0,Meningitis tuberculosa,90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A18,Tuberculosis de otros órganos,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A18.0,Tuberculosis de huesos y articulaciones,90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A18.1,Tuberculosis del aparato genitourinario,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A18.3,"Tuberculosis de intestino, peritoneo y ganglios mesentéricos",90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A18.7,Tuberculosis de las glándulas suprarrenales,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A19,Tuberculosis miliar,90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A21,Tularemia,20
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A22.0,Carbunco cutáneo,21
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A23,Brucelosis,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A25,Fiebres por mordedura de rata,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A27,Leptospirosis,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A28,"Otras enfermedades bacterianas zoonóticas, no clasificadas bajo otro concepto",30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A30,Lepra [enfermedad de Hansen],90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A31,Infecciones debidas a otras micobacterias,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A37,Tos ferina,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A38.9,Escarlatina no complicada,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A39,Infección meningocócica,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A39.0,Meningitis meningocócica,90
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A41,Otras sepsis,30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A41.9,"Sepsis, no especificada",30
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A42,Actinomicosis,21
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A44.9,"Bartonelosis, no especificada",14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A46,Erisipela,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A48,"Otras enfermedades bacterianas, no clasificadas bajo otro concepto",7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A49.3,Infección bacteriana de localización no especificada,7
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A51,Sífilis precoz,14
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A52.1,Neurosífilis sintomática,60
1,ENFERMEDADES INFECCIOSAS Y PARASITARIAS ,A52.11,Tabes dorsal,120
