numero,grupo,codigo_cn0_11,descripcion
17,Ocupaciones militares,0011,Oficiales de las fuerzas armadas
17,Ocupaciones militares,0012,Suboficiales de las fuerzas armadas
1,Directores y gerentes,1111,"Miembros del poder ejecutivo (nacional, autonómico y local) y del poder legislativo"
1,Directores y gerentes,1112,Personal directivo de la Administración Pública
1,Directores y gerentes,1113,Directores de organizaciones de interés social
1,Directores y gerentes,1120,Directores generales y presidentes ejecutivos
1,Directores y gerentes,1211,Directores financieros
1,Directores y gerentes,1212,Directores de recursos humanos
1,Directores y gerentes,1219,Directores de políticas y planificación y de otros departamentos administrativos no clasificados bajo otros epígrafes
1,Directores y gerentes,1221,Directores comerciales y de ventas
1,Directores y gerentes,1222,Directores de publicidad y relaciones públicas
1,Directores y gerentes,1223,Directores de investigación y desarrollo
1,Directores y gerentes,1311,Directores de producción de explotaciones agropecuarias y forestales
1,Directores y gerentes,1312,Directores de producción de explotaciones pesqueras y acuícolas
1,Directores y gerentes,1313,Directores de industrias manufactureras
1,Directores y gerentes,1314,Directores de explotaciones mineras
1,Directores y gerentes,1315,"Directores de empresas de abastecimiento, transporte, distribución y afines"
1,Directores y gerentes,1316,Directores de empresas de construcción
1,Directores y gerentes,1321,Directores de servicios de tecnologías de la información y las comunicaciones (TIC)
1,Directores y gerentes,1322,Directores de servicios sociales para niños
1,Directores y gerentes,1323,Directores-gerentes de centros sanitarios
1,Directores y gerentes,1324,Directores de servicios sociales para personas mayores
1,Directores y gerentes,1325,Directores de otros servicios sociales
1,Directores y gerentes,1326,Directores de servicios de educación
1,Directores y gerentes,1327,"Directores de sucursales de bancos, de servicios financieros y de seguros"
1,Directores y gerentes,1329,Directores de otras empresas de servicios profesionales no clasificados bajo otros epígrafes
1,Directores y gerentes,1411,Directores y gerentes de hoteles
1,Directores y gerentes,1419,Directores y gerentes de otras empresas de servicios de alojamiento
1,Directores y gerentes,1421,Directores y gerentes de restaurantes
1,Directores y gerentes,1422,"Directores y gerentes de bares, cafeterías y similares"
1,Directores y gerentes,1429,Directores y gerentes de empresas de catering y otras empresas de restauración
1,Directores y gerentes,1431,Directores y gerentes de empresas de comercio al por mayor
1,Directores y gerentes,1432,Directores y gerentes de empresas de comercio al por menor
1,Directores y gerentes,1501,"Directores y gerentes de empresas de actividades recreativas, culturales y deportivas"
1,Directores y gerentes,1509,Directores y gerentes de empresas de gestión de residuos y de otras empresas de servicios no clasificados bajo otros epígrafes
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2111,Médicos de familia
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2112,Otros médicos especialistas
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2121,Enfermeros no especializados
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2122,Enfermeros especializados (excepto matronos)
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2123,Matronos
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2130,Veterinarios
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2140,Farmacéuticos
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2151,Odontólogos y estomatólogos
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2152,Fisioterapeutas
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2153,Dietistas y nutricionistas
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2154,Logopedas
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2155,Ópticos-optometristas
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2156,Terapeutas ocupacionales
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2157,Podólogos
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2158,Profesionales de la salud y la higiene laboral y ambiental
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2159,Profesionales de la salud no clasificados bajo otros epígrafes
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2210,Profesores de universidades y otra enseñanza superior (excepto formación profesional)
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2220,Profesores de formación profesional (materias específicas)
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2230,Profesores de enseñanza secundaria (excepto materias específicas de formación profesional)
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2240,Profesores de enseñanza primaria
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2251,Maestros de educación infantil
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2252,Técnicos en educación infantil
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2311,Profesores de educación especial
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2312,Técnicos educadores de educación especial
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2321,Especialistas en métodos didácticos y pedagógicos
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2322,Profesores de enseñanza no reglada de idiomas
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2323,Profesores de enseñanza no reglada de música y danza
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2324,Profesores de enseñanza no reglada de artes
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2325,Instructores en tecnologías de la información en enseñanza no reglada
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2326,Profesionales de la educación ambiental
2,Técnicos y profesionales científicos e intelectuales de la salud y la enseñanza,2329,Profesores y profesionales de la enseñanza no clasificados bajo otros epígrafes
3,Otros técnicos y profesionales científicos e intelectuales,2411,Físicos y astrónomos
3,Otros técnicos y profesionales científicos e intelectuales,2412,Meteorólogos
3,Otros técnicos y profesionales científicos e intelectuales,2413,Químicos
3,Otros técnicos y profesionales científicos e intelectuales,2414,Geólogos y geofísicos
3,Otros técnicos y profesionales científicos e intelectuales,2415,Matemáticos y actuarios
3,Otros técnicos y profesionales científicos e intelectuales,2416,Estadísticos
3,Otros técnicos y profesionales científicos e intelectuales,2421,"Biólogos, botánicos, zoólogos y afines"
3,Otros técnicos y profesionales científicos e intelectuales,2422,Ingenieros agrónomos
3,Otros técnicos y profesionales científicos e intelectuales,2423,Ingenieros de montes
3,Otros técnicos y profesionales científicos e intelectuales,2424,Ingenieros técnicos agrícolas
3,Otros técnicos y profesionales científicos e intelectuales,2425,Ingenieros técnicos forestales y del medio natural
3,Otros técnicos y profesionales científicos e intelectuales,2426,Profesionales de la protección ambiental
3,Otros técnicos y profesionales científicos e intelectuales,2427,Enólogos
3,Otros técnicos y profesionales científicos e intelectuales,2431,Ingenieros industriales y de producción
3,Otros técnicos y profesionales científicos e intelectuales,2432,Ingenieros en construcción y obra civil
3,Otros técnicos y profesionales científicos e intelectuales,2433,Ingenieros mecánicos
3,Otros técnicos y profesionales científicos e intelectuales,2434,Ingenieros aeronáuticos
3,Otros técnicos y profesionales científicos e intelectuales,2435,Ingenieros químicos
3,Otros técnicos y profesionales científicos e intelectuales,2436,"Ingenieros de minas, metalúrgicos y afines"
3,Otros técnicos y profesionales científicos e intelectuales,2437,Ingenieros ambientales
3,Otros técnicos y profesionales científicos e intelectuales,2439,Ingenieros no clasificados bajo otros epígrafes
3,Otros técnicos y profesionales científicos e intelectuales,2441,Ingenieros en electricidad
3,Otros técnicos y profesionales científicos e intelectuales,2442,Ingenieros electrónicos
3,Otros técnicos y profesionales científicos e intelectuales,2443,Ingenieros en telecomunicaciones
3,Otros técnicos y profesionales científicos e intelectuales,2451,Arquitectos (excepto arquitectos paisajistas y urbanistas)
3,Otros técnicos y profesionales científicos e intelectuales,2452,Arquitectos paisajistas
3,Otros técnicos y profesionales científicos e intelectuales,2453,Urbanistas e ingenieros de tráfico
3,Otros técnicos y profesionales científicos e intelectuales,2454,Ingenieros geógrafos y cartógrafos
3,Otros técnicos y profesionales científicos e intelectuales,2461,Ingenieros técnicos industriales y de producción
3,Otros técnicos y profesionales científicos e intelectuales,2462,Ingenieros técnicos de obras públicas
3,Otros técnicos y profesionales científicos e intelectuales,2463,Ingenieros técnicos mecánicos
3,Otros técnicos y profesionales científicos e intelectuales,2464,Ingenieros técnicos aeronáuticos
3,Otros técnicos y profesionales científicos e intelectuales,2465,Ingenieros técnicos químicos
3,Otros técnicos y profesionales científicos e intelectuales,2466,"Ingenieros técnicos de minas, metalúrgicos y afines"
3,Otros técnicos y profesionales científicos e intelectuales,2469,Ingenieros técnicos no clasificados bajo otros epígrafes
